Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Malaysia,"Agriculture, value added (% of GDP)",8.599302471,8.010970591,8.984843898,9.306085216,9.271193484,8.262336647,8.609979641,9.986746491,9.968610854,9.219069273,10.08991593,11.45335312,9.793750746,9.113363845,8.873209013,8.460227533,8.655334439
Malaysia,"Employers, total (% of total employment) (modeled ILO estimate)",2.987999916,3.285000086,3.04399991,3.407999992,3.595999956,3.381999969,3.895999908,3.483999968,3.529000044,3.713000059,3.839999914,3.655999899,3.782999992,3.993000031,3.809999943,4.072999954,3.460999966
Malaysia,"Employers, female (% of female employment) (modeled ILO estimate)",0.847000003,1.082000017,1.062000036,1.194000006,1.312999964,1.396999955,1.537999988,1.351999998,1.388000011,1.552000046,1.625,1.654999971,1.549000025,1.717000008,1.506999969,1.723999977,1.453999996
Malaysia,"Employers, male (% of male employment) (modeled ILO estimate)",4.164999962,4.489999771,4.123000145,4.607999802,4.828000069,4.449999809,5.159999847,4.625999928,4.663000107,4.875,5.022999763,4.751999855,5.032000065,5.328000069,5.190999985,5.488999844,4.679999828
Malaysia,Employment in agriculture (% of total employment) (modeled ILO estimate),18.36300087,15.13199997,14.92700005,14.26799965,14.55599976,14.63799953,14.63199997,14.78600025,13.95699978,13.5,14.2159996,13.62300014,12.70199966,12.98700047,12.23099995,12.46899986,11.36699963
Malaysia,Employment in industry (% of total employment) (modeled ILO estimate),32.18399811,33.10699844,31.9829998,32.02299881,30.12599945,29.72900009,30.25900078,28.46800041,28.68499947,27.01399994,27.73399925,28.04299927,28.56999969,28.36100006,28.02400017,27.5189991,27.48699951
Malaysia,Employment in services (% of total employment) (modeled ILO estimate),49.45299911,51.76100159,53.0890007,53.70899963,55.31800079,55.63299942,55.10900116,56.74599838,57.35800171,59.48600006,58.04999924,58.33399963,58.72800064,58.65200043,59.74399948,60.01200104,61.14599991
Malaysia,Export value index (2000 = 100),100,89.55542425,95.75634658,106.5941691,128.9288144,144.1788879,163.6468867,179.1381318,203.0095891,160.079012,202.1927949,232.1982342,231.6399929,232.4473656,238.1448391,202.7487241,192.8294374
Malaysia,Export volume index (2000 = 100),100,93.18497919,102.6425912,110.9447775,127.5555641,134.8527615,147.4822315,152.3049885,144.5567291,125.3984801,137.9690472,145.2279314,139.574933,145.365815,152.9310547,162.1607604,167.1296066
Malaysia,Exports of goods and services (% of GDP),119.8099893,110.4024914,108.3055854,106.9432074,115.3730943,112.8989768,112.1856688,106.1685755,99.49976504,91.41680218,86.93029507,85.25544211,79.29991393,75.62904103,73.79349863,70.60151694,67.66721946
Malaysia,"Foreign direct investment, net inflows (% of GDP)",4.038428624,0.597029318,3.166132585,2.920942095,3.507865221,2.734393126,4.727202409,4.686888049,3.280791297,0.056692279,4.268590275,5.07443252,2.829056466,3.494301526,3.14126785,3.325246808,4.542481464
Malaysia,Fuel exports (% of merchandise exports),9.623071006,9.725340912,8.395752016,10.08647963,11.57660011,13.42122881,13.77756326,14.41231882,18.39657678,14.81186033,15.85687683,17.75142807,20.43615559,22.25818759,22.01118769,16.09361001,13.78329002
Malaysia,GDP growth (annual %),8.858868174,0.517675315,5.390988315,5.788499281,6.783437736,5.332139139,5.584847069,6.298785927,4.831769895,-1.513528727,7.424847393,5.29391284,5.473454192,4.69372252,6.00672195,5.028006349,4.21985132
Malaysia,"Government expenditure on education, total (% of GDP)",5.971610069,7.484469891,7.657949924,7.502880096,5.9238801,,4.485770226,4.372539997,3.958529949,5.974180222,4.966450214,5.76293993,5.739029884,5.481200218,5.212639809,4.976130009,4.827539921
Malaysia,High-technology exports (% of manufactured exports),59.56925863,58.11111017,57.86455594,58.45883438,55.65766423,54.64561068,53.8397358,52.28431018,39.92064858,46.57393724,44.52124317,43.38956882,43.71654845,43.57375863,43.87404665,42.80094544,42.97479471
Malaysia,"Industry, value added (% of GDP)",48.32001033,46.20354587,45.11575838,46.5784239,48.52979333,45.92699195,46.09585364,42.21520528,42.9161067,38.46347007,40.49893235,39.82426873,40.13500101,39.88537365,39.92451486,39.09933551,38.33691022
Malaysia,"Labor force, total",9533732,9795948,10058384,10334223,10615689,10909756,11155750,11395122,11573526,11922706,12218715,12788871,13348574,14021153,14435805,14827537,15121369
Malaysia,"Manufacturing, value added (% of GDP)",30.86354977,29.33640404,29.24647454,29.9284331,30.37787233,27.54974526,27.56609746,26.12263132,24.56075757,23.80009738,23.43377557,23.32020449,23.13817629,22.84074242,22.87393024,22.74861949,22.26612038
Malaysia,Market capitalization of listed companies (% of GDP),120.6483714,128.2342403,124.7239147,145.9262648,145.5905195,125.7663069,144.8026933,168.0671232,81.98789486,142.9955708,160.2598047,132.7810762,148.3853507,154.7858846,135.7752187,129.1945747,121.3304247
Malaysia,"Agriculture, value added (annual % growth)",6.058193524,-0.172937062,2.866575347,6.030948994,4.674997579,2.593833286,5.835856818,8.826785579,-3.444377811,-10.275821,14.3961337,6.844670737,0.960984699,1.98532537,2.047575701,1.290731665,-5.075915925
Malaysia,Exports of goods and services (annual % growth),16.06572944,-6.83016278,5.427334733,5.133872162,16.05826339,8.301906703,6.682157565,4.428579622,1.573082932,-10.87841745,10.41906977,4.179392921,-1.741856304,0.259247757,5.040280765,0.252664999,1.14818611
Malaysia,"Industry, value added (annual % growth)",10.73634577,-2.502535414,4.189547376,7.390870341,6.978700435,3.133275225,4.307512834,0.789260727,-0.874345049,-6.671650383,4.855683937,2.474810023,4.932752526,3.647255822,5.874023648,5.254657404,4.311016666
Malaysia,"Manufacturing, value added (annual % growth)",18.31248776,-4.270077576,4.120568646,9.163626421,9.558264485,5.195726241,7.42951777,9.010695596,-0.707007242,-8.315857181,6.642712118,5.437600328,4.415155696,3.412120554,6.103070015,4.892335084,4.437009795
Malaysia,"New business density (new registrations per 1,000 people ages 15-64)",,,,,,,2.208783035,2.438196251,2.285624857,2.233060918,2.316718635,2.32975264,2.279171957,2.274278888,2.370698907,2.332429129,2.262438271
Malaysia,New businesses registered (number),,,,,,,38293,43337,41623,41638,44202,45455,45441,46321,49203,49510,46555
Malaysia,"Primary completion rate, total (% of relevant age group)",100.6183014,,92.77301025,93.47962952,98.13938141,103.7466812,100.0370712,98.20053864,99.29029083,99.93380737,97.55587006,100.2997208,107.2671738,103.9139023,103.9005127,103.3765869,100.5613785
Malaysia,Research and development expenditure (% of GDP),0.46952,,0.6529,,0.59996,,0.61084,,0.78842,1.0098,1.03663,1.03311,1.09298,,1.2587,1.29813,
Malaysia,Researchers in R&D (per million people),274.23048,,293.19283,,499.55943,,368.36167,,599.0369,1065.74849,1458.16339,1639.35371,1773.11518,,2017.41691,2261.44431,
Malaysia,"School enrollment, primary (% gross)",98.63761139,98.03108215,96.53681183,97.30513763,99.68005371,100.0131836,98.86633301,98.28408051,98.44859314,99.18631744,100.2449722,101.7826691,103.5283508,105.3204727,104.5828934,103.2912292,103.4846725
Malaysia,"Self-employed, total (% of total employment) (modeled ILO estimate)",25.77099991,24.60300064,23.31200027,23.80200005,25.4470005,24.55699921,25.77799988,25.82600021,25.50300026,25.26399994,25.25200081,23.43600082,25.1590004,26.14500046,24.87800026,26.11400032,25.63599968
Malaysia,Technicians in R&D (per million people),39.324,,56.48801,,63.00139,,43.40864,,68.35558,71.50384,129.9204,157.85157,161.24636,,208.36831,129.69058,
Malaysia,Time required to start a business (days),,,,37.5,37.5,37.5,37.5,31.5,20.5,18.5,17.5,8.5,9.5,9.5,7.5,7.5,18.5
Malaysia,Unemployment with advanced education (% of total labor force with advanced education),,,,,,,,,4.360000134,3.440000057,3.74000001,4.289999962,3.839999914,4.329999924,4.320000172,4.039999962,4.460000038
Malaysia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3,3.529999971,3.470000029,3.609999895,3.539999962,3.529999971,3.329999924,3.230000019,3.339999914,3.690000057,3.25,3.089999914,3.019999981,3.109999895,2.869999886,3.099999905,3.440000057
