Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Singapore,"Agriculture, value added (% of GDP)",0.092120881,0.082638377,0.071311469,0.061421645,0.055958114,0.055075115,0.049013137,0.042986207,0.041620646,0.040949339,0.036728997,0.034542245,0.033172299,0.033966491,0.034984017,0.031095003,0.029934187
Singapore,"Employers, total (% of total employment) (modeled ILO estimate)",5.78399992,5.186999798,5.21999979,5.248000145,5.425000191,5.097000122,5.127999783,5.139999866,5.112999916,4.928999901,5.334000111,5.428999901,6.05700016,6.276000023,5.350999832,5.745999813,5.77699995
Singapore,"Employers, female (% of female employment) (modeled ILO estimate)",2.921000004,2.135999918,2.509000063,2.536999941,2.645999908,2.855999947,2.915999889,2.779999971,2.877000093,2.798000097,3.092000008,3.325999975,3.743000031,4.210999966,3.308000088,3.563999891,3.59100008
Singapore,"Employers, male (% of male employment) (modeled ILO estimate)",7.703000069,7.263000011,7.046000004,7.111999989,7.366000175,6.671000004,6.693999767,6.826000214,6.794000149,6.526000023,7.056000233,7.06799984,7.879000187,7.912000179,6.993000031,7.525000095,7.561999798
Singapore,Employment in agriculture (% of total employment) (modeled ILO estimate),0.147,0.708000004,0.68900001,0.713999987,0.741999984,0.924000025,1.077999949,0.991999984,1.07099998,0.141000003,0.126000002,1.036999941,1.139999986,1.139000058,1.026000023,0.944000006,0.118000001
Singapore,Employment in industry (% of total employment) (modeled ILO estimate),33.85699844,25.95199966,25.28800011,25.1420002,24.0909996,21.8220005,22.25900078,22.63199997,22.69199944,31.35400009,30.38599968,19.75399971,19.39800072,18.7329998,16.66799927,16.38999939,16.29400063
Singapore,Employment in services (% of total employment) (modeled ILO estimate),65.9960022,73.33999634,74.02300262,74.14399719,75.16699982,77.2539978,76.66300201,76.375,76.23699951,68.50499725,69.48799896,79.20899963,79.46199799,80.1269989,82.30599976,82.66600037,83.58799744
Singapore,Export value index (2000 = 100),100,88.35084613,90.83698586,116.035819,144.1445822,166.6490087,197.2417346,217.1982816,245.4036327,195.808806,255.3388087,297.1636382,296.3580353,297.705219,297.0187368,251.5442948,245.3354039
Singapore,Export volume index (2000 = 100),100,95.32264133,100.1189916,116.4822218,155.3518013,173.4862666,191.8067444,207.8682626,217.1077509,194.6613677,235.1613207,246.7923996,247.3685448,255.7591007,261.8779983,260.8668046,270.397893
Singapore,Exports of goods and services (% of GDP),189.1812439,184.4794251,185.9709567,205.175099,216.421375,226.227166,230.10633,214.7636607,231.1944905,192.1680995,199.7474571,203.2375792,197.0572179,194.0824546,191.2734511,177.3917081,168.1919704
Singapore,"Foreign direct investment, net inflows (% of GDP)",16.18977198,19.04759417,6.696943772,17.57853402,21.35968318,14.19765989,24.98280461,26.52120682,6.34706687,12.38054639,23.29559647,17.81215523,19.33073362,21.17944571,22.322254,23.21470074,23.97084755
Singapore,Fuel exports (% of merchandise exports),7.336951944,7.559368268,7.702176386,8.434344555,9.832151146,12.00698724,12.93045518,13.74967751,18.49821871,15.36939056,16.23111438,19.77652673,18.50979613,17.37976764,16.69571849,12.60087569,11.36683857
Singapore,GDP growth (annual %),8.897544418,-0.952290066,4.211686552,4.435328147,9.549175476,7.489157459,8.860196114,9.111527148,1.787620228,-0.603388298,15.24037704,6.350673205,4.08329765,5.111087259,3.883887305,2.241057968,2.397021458
Singapore,"Government expenditure on education, total (% of GDP)",3.321360111,3.551379919,3.900629997,4.007780075,3.677010059,3.219660044,2.867870092,2.963360071,2.779360056,3.031840086,3.108360052,3.074189901,3.112659931,2.91283989,,,
Singapore,High-technology exports (% of manufactured exports),62.79494579,60.94929712,60.62664036,90.01820328,56.87614852,93.7144355,98.72905065,45.53124876,49.82748753,48.68014664,49.90865546,45.15697135,45.2892229,46.99436728,47.18240356,49.27542568,48.85088552
Singapore,"Industry, value added (% of GDP)",32.46474197,30.35035046,30.62578547,30.04512538,31.602915,30.91246452,30.38065024,27.66966095,25.89723377,26.47950032,26.09244726,24.73702952,24.63939234,23.15291457,24.02269579,24.24879256,23.72418673
Singapore,"Labor force, total",2046758,2117782,2121297,2101508,2137291,2214085,2314109,2444598,2629314,2725971,2808399,2886652,2994964,3055059,3139951,3222396,3263575
Singapore,"Manufacturing, value added (% of GDP)",25.86084905,23.37097068,24.62960859,24.55930857,26.80393676,26.53710497,26.00889987,23.21107702,20.01339067,19.66661664,20.17606963,18.98558733,18.63165507,17.2588097,17.76319139,17.9757105,17.68105626
Singapore,Market capitalization of listed companies (% of GDP),159.4700391,129.5705146,110.3808824,153.093331,190.4703629,201.9654915,260.0091901,299.5737136,137.8453295,250.1173185,273.7592129,216.7914496,263.2085422,244.5073572,241.6486548,210.444135,206.7470059
Singapore,"Agriculture, value added (annual % growth)",-4.828388598,-12.53056235,-17.12089448,-8.347386172,0,7.083716651,1.632302405,-0.084530854,-5.837563452,3.863432165,2.422145329,2.111486486,3.639371381,4.469273743,7.257448434,-6.98005698,-1.45482389
Singapore,Exports of goods and services (annual % growth),14.4296994,-3.537500495,7.498904504,14.21286723,19.09017426,12.49467746,11.15196,8.595511327,4.834968208,-7.655751077,17.4390511,6.672908758,1.699492848,5.946698935,3.355742785,4.739013629,1.104814941
Singapore,"Industry, value added (annual % growth)",11.32809419,-8.314185941,4.134641923,1.284690786,10.22566937,7.988992227,10.89514282,7.416993365,-0.116045591,0.336864075,23.91026689,7.028256406,2.236860375,1.953340606,3.552405819,-2.703759658,3.223779685
Singapore,"Manufacturing, value added (annual % growth)",15.14639484,-11.60480166,8.468574712,2.996005141,13.84595813,9.509454059,11.92199057,5.940933999,-4.18821134,-4.150375135,29.67501396,7.808295843,0.319460112,1.670545319,2.683822398,-5.127674408,3.700524751
Singapore,"New business density (new registrations per 1,000 people ages 15-64)",,,,,,,6.100700357,7.106414157,6.633067464,6.609311782,7.350728694,7.791261888,8.044326328,8.730852133,9.509101863,8.459422382,8.623113717
Singapore,New businesses registered (number),,,,,,,19575,23850,23544,24234,27483,29781,31531,34766,38306,34076,35021
Singapore,Research and development expenditure (% of GDP),1.82395,2.02043,2.06343,2.02631,2.10461,2.16142,2.13179,2.33915,2.62062,2.15815,2.01523,2.15275,2.00685,2.01219,2.19754,,
Singapore,Researchers in R&D (per million people),4245.03143,4160.9331,4380.99205,4706.45212,4881.85078,5291.76865,5424.78639,5768.56967,5740.83731,6148.9616,6306.51919,6495.98722,6442.27614,6665.19427,6658.49893,,
Singapore,"Self-employed, total (% of total employment) (modeled ILO estimate)",10.40400028,15.41100025,15.18999958,14.9829998,15.57600021,15.26200008,15.19400024,15.47000027,15.12300014,14.78899956,14.5340004,15.04500008,15.36100006,14.95499992,14.66300011,14.06200027,14.07400036
Singapore,Technicians in R&D (per million people),347.09711,356.62826,383.38271,402.651,465.21897,528.22681,519.40163,500.78548,587.60432,548.80008,461.02539,464.81511,462.33096,458.42736,452.24391,,
Singapore,Time required to start a business (days),,,,8,8,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Singapore,Unemployment with advanced education (% of total labor force with advanced education),,1.090000033,2.200000048,2.410000086,,,4.28000021,4.320000172,4.659999847,,,2.99000001,3.089999914,2.869999886,,4.050000191,
Singapore,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.700000048,3.75999999,5.650000095,5.929999828,5.840000153,5.590000153,4.480000019,3.900000095,3.960000038,4.380000114,3.170000076,2.960000038,2.880000114,2.789999962,2.799999952,1.690000057,1.799999952
